Date,NIFTY_50_Open,NIFTY_50_High,NIFTY_50_Low,NIFTY_50_Close,Auto_Open,Auto_High,Auto_Low,Auto_Close,Bank_Open,Bank_High,Bank_Low,Bank_Close,FMCG_Open,FMCG_High,FMCG_Low,FMCG_Close,IT_Open,IT_High,IT_Low,IT_Close,Next_50_Open,Next_50_High,Next_50_Low,Next_50_Close,Energy_Open,Energy_High,Energy_Low,Energy_Close
22 Jul 2019,11392.85,11398.15,11301.25,11346.2,11392.85,16 Mar 1931,11301.25,11346.2,11392.85,11398.15,11301.25,11346.2,11392.85,11398.15,11301.25,11346.2,11392.85,11398.15,11301.25,11346.2,11392.85,11398.15,11301.25,11346.2,11392.85,11398.15,11301.25,11346.2
23 Jul 2019,11372.25,11398.15,11302.8,11331.05,11372.25,16 Mar 1931,11302.8,11331.05,11372.25,11398.15,11302.8,11331.05,11372.25,11398.15,11302.8,11331.05,11372.25,11398.15,11302.8,11331.05,11372.25,11398.15,11302.8,11331.05,11372.25,11398.15,11302.8,11331.05
24 Jul 2019,11322.45,11359.75,11229.8,11271.3,11322.45,5 Feb 1931,11229.8,11271.3,11322.45,11359.75,11229.8,11271.3,11322.45,11359.75,11229.8,11271.3,11322.45,11359.75,11229.8,11271.3,11322.45,11359.75,11229.8,11271.3,11322.45,11359.75,11229.8,11271.3
25 Jul 2019,11290.4,11361.4,11239.35,11252.15,11290.4,7 Feb 1931,11239.35,11252.15,11290.4,11361.4,11239.35,11252.15,11290.4,11361.4,11239.35,11252.15,11290.4,11361.4,11239.35,11252.15,11290.4,11361.4,11239.35,11252.15,11290.4,11361.4,11239.35,11252.15
26 Jul 2019,11247.45,11307.6,11210.05,11284.3,11247.45,15 Dec 1930,11210.05,11284.3,11247.45,11307.6,11210.05,11284.3,11247.45,11307.6,11210.05,11284.3,11247.45,11307.6,11210.05,11284.3,11247.45,11307.6,11210.05,11284.3,11247.45,11307.6,11210.05,11284.3
29 Jul 2019,11307.5,11310.95,11152.4,11189.2,11307.5,18 Dec 1930,11152.4,11189.2,11307.5,11310.95,11152.4,11189.2,11307.5,11310.95,11152.4,11189.2,11307.5,11310.95,11152.4,11189.2,11307.5,11310.95,11152.4,11189.2,11307.5,11310.95,11152.4,11189.2
30 Jul 2019,11213.7,11267.45,11072.65,11085.4,11213.7,5 Nov 1930,11072.65,11085.4,11213.7,11267.45,11072.65,11085.4,11213.7,11267.45,11072.65,11085.4,11213.7,11267.45,11072.65,11085.4,11213.7,11267.45,11072.65,11085.4,11213.7,11267.45,11072.65,11085.4
31 Jul 2019,11034.05,11145.3,10999.4,11118,11034.05,6 Jul 1930,10999.4,11118,11034.05,11145.3,10999.4,11118,11034.05,11145.3,10999.4,11118,11034.05,11145.3,10999.4,11118,11034.05,11145.3,10999.4,11118,11034.05,11145.3,10999.4,11118
1 Aug 2019,11060.2,11076.75,10881,10980,11060.2,28 Apr 1930,10881,10980,11060.2,11076.75,10881,10980,11060.2,11076.75,10881,10980,11060.2,11076.75,10881,10980,11060.2,11076.75,10881,10980,11060.2,11076.75,10881,10980
2 Aug 2019,10930.3,11080.15,10848.95,10997.35,10930.3,2 May 1930,10848.95,10997.35,10930.3,11080.15,10848.95,10997.35,10930.3,11080.15,10848.95,10997.35,10930.3,11080.15,10848.95,10997.35,10930.3,11080.15,10848.95,10997.35,10930.3,11080.15,10848.95,10997.35
5 Aug 2019,10895.8,10895.8,10782.6,10862.6,10895.8,29 Oct 1929,10782.6,10862.6,10895.8,10895.8,10782.6,10862.6,10895.8,10895.8,10782.6,10862.6,10895.8,10895.8,10782.6,10862.6,10895.8,10895.8,10782.6,10862.6,10895.8,10895.8,10782.6,10862.6
6 Aug 2019,10815.4,11018.55,10813.8,10948.25,10815.4,1 Mar 1930,10813.8,10948.25,10815.4,11018.55,10813.8,10948.25,10815.4,11018.55,10813.8,10948.25,10815.4,11018.55,10813.8,10948.25,10815.4,11018.55,10813.8,10948.25,10815.4,11018.55,10813.8,10948.25
7 Aug 2019,10958.1,10975.65,10835.9,10855.5,10958.1,17 Jan 1930,10835.9,10855.5,10958.1,10975.65,10835.9,10855.5,10958.1,10975.65,10835.9,10855.5,10958.1,10975.65,10835.9,10855.5,10958.1,10975.65,10835.9,10855.5,10958.1,10975.65,10835.9,10855.5
